"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2024","575","615","615","560","116.50K","-4.17%"
"05/22/2024","575","590","600","575","71.20K","0.00%"
"05/27/2024","595","575","600","565","27.70K","3.48%"
"05/28/2024","595","595","595","570","5.30K","0.00%"
"05/29/2024","575","595","595","565","16.30K","-3.36%"
"05/30/2024","585","575","590","575","1.40K","1.74%"
"05/31/2024","580","585","590","580","4.00K","-0.85%"
"06/03/2024","555","580","585","555","20.90K","-4.31%"
"06/04/2024","555","555","575","555","13.80K","0.00%"
"06/05/2024","570","550","580","550","32.80K","2.70%"
"06/06/2024","550","580","580","550","10.30K","-3.51%"
"06/07/2024","555","550","570","540","28.20K","0.91%"
"06/10/2024","585","540","650","490","259.90K","5.41%"
"06/11/2024","595","585","595","525","43.20K","1.71%"
"06/12/2024","555","580","580","535","51.80K","-6.72%"
"06/13/2024","560","560","580","560","0.60K","0.90%"
"06/14/2024","510","560","580","510","161.30K","-8.93%"
"06/19/2024","510","510","520","480","54.20K","0.00%"
"06/20/2024","486","482","500","480","23.40K","-4.71%"
"06/21/2024","490","500","505","490","11.00K","0.82%"
"06/24/2024","486","490","492","470","58.90K","-0.82%"
"06/25/2024","476","486","500","472","21.30K","-2.06%"
"06/26/2024","500","476","500","452","75.70K","5.04%"
"06/27/2024","478","480","496","462","139.90K","-4.40%"
"06/28/2024","476","478","480","470","24.30K","-0.42%"
"07/01/2024","474","476","476","458","58.30K","-0.42%"
"07/02/2024","476","476","476","462","20.00K","0.42%"
"07/03/2024","474","464","474","462","34.20K","-0.42%"
"07/04/2024","470","474","498","466","133.40K","-0.84%"
"07/05/2024","476","484","484","472","66.40K","1.28%"
"07/08/2024","472","476","476","470","106.40K","-0.84%"
"07/09/2024","478","476","500","460","359.40K","1.27%"
"07/10/2024","460","478","510","460","411.30K","-3.77%"
"07/11/2024","474","474","474","460","4.30K","3.04%"
"07/12/2024","476","470","476","462","192.80K","0.42%"
"07/15/2024","472","472","474","470","8.50K","-0.84%"
"07/16/2024","468","472","478","466","54.50K","-0.85%"
"07/17/2024","470","470","472","468","2.50K","0.43%"
"07/18/2024","466","470","476","462","75.80K","-0.85%"
"07/19/2024","460","464","474","460","47.70K","-1.29%"
"07/22/2024","466","462","468","460","109.60K","1.30%"
"07/23/2024","464","464","468","458","8.00K","-0.43%"
"07/24/2024","460","470","472","460","170.70K","-0.86%"
"07/25/2024","460","460","468","458","102.20K","0.00%"
"07/26/2024","464","460","466","458","52.20K","0.87%"
"07/29/2024","462","464","464","460","20.50K","-0.43%"
"07/30/2024","470","462","470","458","4.60K","1.73%"
"07/31/2024","468","468","470","458","35.40K","-0.43%"
"08/01/2024","460","460","468","460","126.10K","-1.71%"
"08/02/2024","464","460","464","460","2.80K","0.87%"
"08/05/2024","460","464","464","456","9.60K","-0.86%"
"08/06/2024","458","460","460","456","1.90K","-0.43%"
"08/07/2024","456","458","460","456","3.30K","-0.44%"
"08/08/2024","452","456","458","452","18.60K","-0.88%"
"08/09/2024","450","452","452","448","23.70K","-0.44%"
"08/12/2024","452","448","454","446","22.60K","0.44%"
"08/13/2024","450","446","454","446","7.30K","-0.44%"
"08/14/2024","450","450","462","450","148.20K","0.00%"
"08/15/2024","456","450","456","444","8.60K","1.33%"
"08/16/2024","452","456","456","452","6.90K","-0.88%"
"08/19/2024","458","452","460","452","49.80K","1.33%"
"08/20/2024","458","452","464","452","20.10K","0.00%"
"08/21/2024","460","458","464","456","65.80K","0.44%"
"08/22/2024","454","460","460","450","124.10K","-1.30%"
"08/23/2024","450","454","464","450","137.50K","-0.88%"
"08/26/2024","454","450","462","450","47.00K","0.89%"
"08/27/2024","460","458","460","454","20.20K","1.32%"
"08/28/2024","458","460","460","452","65.10K","-0.43%"
"08/29/2024","456","458","460","450","5.20K","-0.44%"
"08/30/2024","456","456","456","456","5.00K","0.00%"
"09/02/2024","460","460","462","456","123.80K","0.88%"
"09/03/2024","462","460","462","456","8.90K","0.43%"
"09/04/2024","450","460","570","450","256.20K","-2.60%"
"09/05/2024","450","450","454","450","31.70K","0.00%"
"09/06/2024","456","450","458","450","0.80K","1.33%"
"09/09/2024","460","456","462","456","88.60K","0.88%"
"09/10/2024","466","458","470","458","27.10K","1.30%"
"09/11/2024","454","462","466","444","118.60K","-2.58%"
"09/12/2024","456","458","458","454","3.70K","0.44%"
"09/13/2024","450","456","458","450","251.70K","-1.32%"
"09/17/2024","450","450","462","450","83.00K","0.00%"
