Date,Price,Open,High,Low,Vol.,Change %
7/10/2024,"1,970","1,960","1,970","1,960",0.90K,1.03%
7/11/2024,"1,865","1,900","1,950","1,825",1.20K,-5.33%
7/12/2024,"1,835","1,865","1,880","1,835",1.00K,-1.61%
7/15/2024,"1,910","1,880","1,935","1,835",2.20K,4.09%
7/16/2024,"1,945","1,905","1,965","1,900",1.10K,1.83%
7/17/2024,"1,890","1,900","1,940","1,880",14.20K,-2.83%
7/18/2024,"1,900","1,900","1,900","1,880",11.30K,0.53%
7/19/2024,"1,880","1,935","1,960","1,880",7.90K,-1.05%
7/22/2024,"1,870","1,925","1,925","1,870",1.30K,-0.53%
7/23/2024,"1,910","1,910","1,910","1,910",0.10K,2.14%
7/24/2024,"1,925","1,925","1,925","1,925",0.10K,0.79%
7/26/2024,"1,900","1,900","1,900","1,900",5.00K,-1.30%
7/30/2024,"1,880","1,880","1,880","1,880",0.30K,-1.05%
7/31/2024,"1,880","1,880","1,920","1,880",3.10K,0.00%
8/1/2024,"1,880","1,925","1,925","1,880",2.80K,0.00%
8/2/2024,"1,900","1,925","1,925","1,900",0.80K,1.06%
8/5/2024,"1,760","1,900","1,900","1,760",0.40K,-7.37%
8/6/2024,"1,880","1,760","1,880","1,760",0.60K,6.82%
8/7/2024,"1,805","1,880","1,880","1,730",0.80K,-3.99%
8/13/2024,"1,825","1,825","1,825","1,825",1.50K,1.11%
8/14/2024,"1,875","1,835","1,875","1,835",1.00K,2.74%
8/15/2024,"1,880","1,875","1,885","1,875",1.30K,0.27%
8/16/2024,"1,870","1,870","1,890","1,870",13.60K,-0.53%
8/19/2024,"1,885","1,870","1,910","1,870",2.60K,0.80%
8/20/2024,"1,880","1,880","1,880","1,840",0.50K,-0.27%
8/21/2024,"1,840","1,830","1,840","1,830",1.60K,-2.13%
8/22/2024,"1,880","1,875","1,880","1,875",0.40K,2.17%
8/23/2024,"1,875","1,875","1,885","1,825",0.90K,-0.27%
8/26/2024,"1,875","1,875","1,875","1,875",0.10K,0.00%
8/27/2024,"1,880","1,875","1,885","1,875",0.30K,0.27%
8/30/2024,"1,800","1,800","1,800","1,800",0.70K,-4.26%
9/2/2024,"1,800","1,800","1,800","1,800",0.60K,0.00%
9/3/2024,"1,760","1,760","1,760","1,760",0.10K,-2.22%
9/4/2024,"1,750","1,750","1,750","1,750",0.30K,-0.57%
9/5/2024,"1,750","1,750","1,750","1,750",0.30K,0.00%
9/9/2024,"1,750","1,750","1,750","1,750",0.40K,0.00%
9/11/2024,"1,750","1,750","1,750","1,750",0.10K,0.00%
9/12/2024,"1,745","1,745","1,745","1,745",0.70K,-0.29%
9/13/2024,"1,745","1,745","1,745","1,745",0.20K,0.00%
9/17/2024,"1,745","1,745","1,745","1,745",1.00K,0.00%
9/19/2024,"1,745","1,745","1,745","1,745",0.50K,0.00%
9/27/2024,"1,745","1,745","1,745","1,745",0.30K,0.00%
9/30/2024,"1,745","1,745","1,745","1,745",0.10K,0.00%
10/1/2024,"1,745","1,745","1,745","1,745",0.10K,0.00%
10/4/2024,"1,745","1,745","1,745","1,745",0.70K,0.00%
10/9/2024,"1,745","1,745","1,745","1,745",0.10K,0.00%
10/10/2024,"1,745","1,745","1,745","1,745",0.10K,0.00%
10/15/2024,"1,600","1,640","1,640","1,600",19.20K,-8.31%
10/16/2024,"1,540","1,540","1,600","1,540",3.60K,-3.75%
10/17/2024,"1,400","1,420","1,420","1,390",105.30K,-9.09%
10/18/2024,"1,420","1,415","1,420","1,415",10.00K,1.43%
10/21/2024,"1,405","1,405","1,405","1,405",1.30K,-1.06%
10/22/2024,"1,405","1,405","1,405","1,405",2.20K,0.00%
10/23/2024,"1,440","1,400","1,440","1,400",6.10K,2.49%
10/24/2024,"1,440","1,440","1,440","1,440",8.50K,0.00%
10/25/2024,"1,440","1,440","1,440","1,440",0.20K,0.00%
10/28/2024,"1,440","1,440","1,440","1,440",0.70K,0.00%
